0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,2
11,8
12,22
13,26
14,5
15,51
16,35
17,38
18,59
19,283
20,125
21,130
22,240
23,184
24,341
25,401
26,779
27,930
28,924
29,1214
30,1459
31,2095
32,2960
33,2993
34,4528
35,2516
36,2509
37,4183
38,3935
39,4332
40,6615
41,6933
42,6824
43,4740
44,4450
45,4923
46,6173
47,6813
48,6365
49,4933
50,4031
51,3252
52,4288
53,5633
54,4939
55,3936
56,3281
57,2402
58,2218
59,2138
60,2543
61,2945
62,3699
63,2327
64,2018
65,1323
66,1388
67,2195
68,2481
69,1870
70,1514
71,1257
72,988
73,1154
74,1627
75,1470
76,1068
77,890
78,697
79,488
80,855
81,1155
82,1268
83,1158
84,736
85,555
86,697
87,595
88,927
89,877
90,724
91,545
92,407
93,638
94,538
95,704
96,490
97,692
98,273
99,342
100,461
101,499
102,607
103,557
104,567
105,275
106,200
107,271
108,326
109,334
110,498
111,491
112,282
113,173
114,336
115,311
116,-6
117,285
118,456
119,172
120,248
121,373
122,338
123,1122
124,622
125,534
126,556
127,359
128,544
129,659
130,476
131,531
132,614
133,290
134,175
135,528
136,440
137,492
138,393
139,283
140,418
141,140
142,499
143,298
144,410
145,433
146,390
147,224
148,138
149,486
150,330
151,486
152,584
153,509
154,227
155,273
156,642
157,403
158,580
159,672
160,818
161,372
162,409
163,638
164,572
165,860
166,842
167,1012
168,412
169,385
170,858
171,760
172,1024
173,1106
174,1105
175,581
176,385
177,1219
178,1030
179,1320
180,1419
181,1505
182,704
183,519
184,1689
185,1419
186,1595
187,1584
188,1737
189,836
190,632
191,1628
192,1455
193,1428
194,1565
195,1549
196,711
197,470
198,1497
199,1209
200,1390
201,1423
202,1467
203,775
204,668
205,1901
206,1331
207,1393
208,1758
209,1618
210,821
211,752
212,1923
213,1623
214,2021
215,2177
216,2202
217,1064
218,1169
219,2074
220,1625
221,2029
222,2140
223,2361
224,1319
225,1313
226,2280
227,1848
228,2445
229,2619
230,2833
231,1665
232,1543
233,3086
234,2462
235,3994
236,4401
237,4964
238,2975
239,2838
240,4803
241,4585
242,6063
243,7074
244,7976
245,4941
246,5248
247,6750
248,7167
249,10457
250,12519
251,13476
252,10458
253,9829
254,12621
255,13161
256,16202
257,18732
258,19367
259,14070
260,12556
261,16240
262,16545
263,20228
